seed,simulate,simulate.scenario,simulate.output.file,fit,fit.output.file,mse.err
78,zh,1,zh/zh_309,ridge,ridge/zh_309_ridge_1,12.0805552755325
78,zh,2,zh/zh_310,ridge,ridge/zh_310_ridge_1,12.0032229282258
78,zh,3,zh/zh_311,ridge,ridge/zh_311_ridge_1,238.773536550428
78,zh,4,zh/zh_312,ridge,ridge/zh_312_ridge_1,239.084390583202
79,zh,1,zh/zh_313,ridge,ridge/zh_313_ridge_1,9.2121631358397
79,zh,2,zh/zh_314,ridge,ridge/zh_314_ridge_1,8.59763821552474
79,zh,3,zh/zh_315,ridge,ridge/zh_315_ridge_1,241.484061464921
79,zh,4,zh/zh_316,ridge,ridge/zh_316_ridge_1,275.516058083635
80,zh,1,zh/zh_317,ridge,ridge/zh_317_ridge_1,9.56654629066834
80,zh,2,zh/zh_318,ridge,ridge/zh_318_ridge_1,9.69567096986147
80,zh,3,zh/zh_319,ridge,ridge/zh_319_ridge_1,242.15595065105
80,zh,4,zh/zh_320,ridge,ridge/zh_320_ridge_1,237.048532618236
81,zh,1,zh/zh_321,ridge,ridge/zh_321_ridge_1,9.19471456658291
81,zh,2,zh/zh_322,ridge,ridge/zh_322_ridge_1,9.22978887475266
81,zh,3,zh/zh_323,ridge,ridge/zh_323_ridge_1,263.139853421506
81,zh,4,zh/zh_324,ridge,ridge/zh_324_ridge_1,272.975448872759
82,zh,1,zh/zh_325,ridge,ridge/zh_325_ridge_1,10.3344010522995
82,zh,2,zh/zh_326,ridge,ridge/zh_326_ridge_1,9.9921368038587
82,zh,3,zh/zh_327,ridge,ridge/zh_327_ridge_1,225.796746340659
82,zh,4,zh/zh_328,ridge,ridge/zh_328_ridge_1,283.839390786332
83,zh,1,zh/zh_329,ridge,ridge/zh_329_ridge_1,13.4795933691463
83,zh,2,zh/zh_330,ridge,ridge/zh_330_ridge_1,10.4843910713724
83,zh,3,zh/zh_331,ridge,ridge/zh_331_ridge_1,230.502945747388
83,zh,4,zh/zh_332,ridge,ridge/zh_332_ridge_1,232.208410822803
